Name,Origin,Type,Friendly Rating (1-10),Life Span,Size,Grooming Needs,Exercise Requirements (hrs/day),Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Average Weight (kg),Training Difficulty (1-10)
Affenpinscher,Germany,Toy,7,14,Small,High,1.5,8,Moderate,Low,4,6
Afghan Hound,Afghanistan,Hound,5,13,Large,Very High,2,4,High,Moderate,25,8
Airedale Terrier,England,Terrier,8,12,Medium,High,2,7,Moderate,Low,21,6
Akita,Japan,Working,6,11,Large,Moderate,2,7,High,High,45,9
Alaskan Malamute,Alaska USA,Working,7,11,Large,High,3,6,Very High,Moderate,36,8
American Bulldog,USA,Working,8,11,Large,Low,2,6,Moderate,Moderate,42,7
American Eskimo,USA,Non-Sporting,9,14,Small-Medium,High,2,9,High,Low,12,5
American Foxhound,USA,Hound,8,12,Medium,Low,2.5,6,Moderate,Low,31,6
Australian Cattle Dog,Australia,Herding,7,14,Medium,Moderate,2.5,9,Moderate,Low,15,7
Australian Shepherd,USA,Herding,8,14,Medium,High,2.5,9,High,Moderate,25,7
Australian Terrier,Australia,Terrier,7,13,Small,Moderate,1.5,7,Low,Low,6.5,6
Basenji,Central Africa,Hound,6,13,Small-Medium,Low,2,6,Low,Low,10,9
Basset Hound,France,Hound,8,11,Medium,Low,1,5,Moderate,High,24,7
Beagle,England,Hound,9,13,Small-Medium,Low,2,7,Moderate,Moderate,10,7
Bearded Collie,Scotland,Herding,8,13,Medium,Very High,2,8,High,Low,22,6
Bernese Mountain Dog,Switzerland,Working,9,8,Large,High,1.5,7,High,High,43,5
Bichon Frise,Mediterranean,Non-Sporting,9,13,Small,Very High,1,8,Low,Low,4,5
Black Russian Terrier,Russia,Working,7,11,Large,High,2,8,Moderate,Moderate,50,8
Bloodhound,Belgium,Hound,7,11,Large,Moderate,2,6,Moderate,High,43,8
Border Collie,UK,Herding,8,13,Medium,High,3,10,Moderate,Low,17,6
Border Terrier,UK,Terrier,8,13,Small,Moderate,1.5,7,Moderate,Low,6,6
Borzoi,Russia,Hound,6,11,Large,High,2,6,Moderate,Low,37,7
Boston Terrier,USA,Non-Sporting,9,12,Small,Low,1.5,8,Low,Moderate,9,5
Bouvier des Flandres,Belgium,Herding,7,11,Large,Very High,2,8,High,Moderate,34,7
Boxer,Germany,Working,9,11,Large,Low,2,7,Moderate,Moderate,28,6
Briard,France,Herding,7,12,Large,High,2,8,Moderate,Low,35,7
Brittany,France,Sporting,8,13,Medium,Moderate,2.5,8,Moderate,Low,17,5
Brussels Griffon,Belgium,Toy,7,13,Small,High,1.5,8,Moderate,Moderate,4,7
Bull Terrier,England,Terrier,7,12,Medium,Low,2,7,Low,Moderate,27,7
Bullmastiff,England,Working,6,9,Large,Low,1.5,6,Moderate,High,52,7
Cairn Terrier,Scotland,Terrier,8,14,Small,Moderate,1.5,7,Moderate,Low,7,6
Canaan Dog,Israel,Herding,6,13,Medium,Low,2,8,Moderate,Low,21,8
Cane Corso,Italy,Working,6,11,Large,Low,2,7,Low,Moderate,45,9
Cardigan Welsh Corgi,Wales,Herding,8,13,Small,Moderate,2,8,High,Moderate,13,6
Cavalier King Charles Spaniel,UK,Toy,10,11,Small,Moderate,1,6,Moderate,High,6,4
Chesapeake Bay Retriever,USA,Sporting,7,11,Large,Moderate,2.5,7,Moderate,Low,30,7
Chihuahua,Mexico,Toy,6,16,Small,Low,1,7,Low,Moderate,2,7
Chinese Crested,China,Toy,7,14,Small,High,1,8,Low,Low,3,6
Chinese Shar-Pei,China,Non-Sporting,6,10,Medium,Low,1.5,6,Moderate,High,22,8
Chow Chow,China,Non-Sporting,5,10,Medium,High,1.5,5,High,High,26,9
Clumber Spaniel,England,Sporting,7,11,Medium,Moderate,1.5,6,High,Moderate,31,6
Cocker Spaniel,England,Sporting,9,13,Small-Medium,High,1.5,7,High,Moderate,12,5
Collie,Scotland,Herding,9,13,Medium,High,2,8,High,Moderate,24,5
